,id,full_text,location,part_of_s
0,1240973976039374848,"['retweet', ':', 'hey', 'straight', 'people', ':', 'homophobia', 'transphobia', 'eventually', 'f', '*', '*', 'k', 'politicians', 'going', 'stall', 'l…']",,"[('retweet', 'NN'), (':', ':'), ('hey', 'JJ'), ('straight', 'JJ'), ('people', 'NNS'), (':', ':'), ('homophobia', 'NN'), ('transphobia', 'VBZ'), ('eventually', 'RB'), ('f', 'JJ'), ('*', 'NNP'), ('*', 'NNP'), ('k', 'NN'), ('politicians', 'NNS'), ('going', 'VBG'), ('stall', 'NN'), ('l…', 'NN')]"
1,1240974080565788673,"['retweet', ':', 'exclusive', ':', 'georgia', 'senator', 'kelly', 'loeffler', 'sold', 'seven', 'figures', 'worth', 'stock', 'holdings', 'private', 'meeting', 'the…']",Massachusetts,"[('retweet', 'NN'), (':', ':'), ('exclusive', 'JJ'), (':', ':'), ('georgia', 'NN'), ('senator', 'NN'), ('kelly', 'RB'), ('loeffler', 'VBZ'), ('sold', 'JJ'), ('seven', 'CD'), ('figures', 'NNS'), ('worth', 'JJ'), ('stock', 'NN'), ('holdings', 'NNS'), ('private', 'JJ'), ('meeting', 'NN'), ('the…', 'NN')]"
2,1240974084646805504,"['thanks', 'much', 'darren']",,"[('thanks', 'NNS'), ('much', 'JJ'), ('darren', 'NNS')]"
3,1240974084843896833,"['retweet', ':', 'president', 'trump', ""'s"", 'economy', 'strong', 'took', 'global', 'pandemic', 'entire', 'united', 'states', 'shutting', 'to…']",USA Texas,"[('retweet', 'NN'), (':', ':'), ('president', 'NN'), ('trump', 'NN'), (""'s"", 'POS'), ('economy', 'NN'), ('strong', 'JJ'), ('took', 'VBD'), ('global', 'JJ'), ('pandemic', 'JJ'), ('entire', 'JJ'), ('united', 'JJ'), ('states', 'NNS'), ('shutting', 'VBG'), ('to…', 'NN')]"
4,1240974567037792257,"['retweet', ':', 'taburan', 'kes', 'covid19', 'di', 'seluruh', 'negara', '.', 'disease', 'spread', 'malaysia', '.', 'stay', 'home', ',', 'balik', 'kampung.…']",Johore Malaysia,"[('retweet', 'NN'), (':', ':'), ('taburan', 'NN'), ('kes', 'NNS'), ('covid19', 'VBP'), ('di', 'JJ'), ('seluruh', 'NN'), ('negara', 'NN'), ('.', '.'), ('disease', 'NN'), ('spread', 'NN'), ('malaysia', 'NN'), ('.', '.'), ('stay', 'VB'), ('home', 'NN'), (',', ','), ('balik', 'NN'), ('kampung.…', 'NN')]"
5,1240974604837048322,"['retweet', ':', 'full', 'day', 'work', 'serving', 'nhs', 'I', 'every', 'day', ',', 'I', 'go', 'shop', 'food', 'greeted', 'this', '.', 'emotional', 'do…']",LG,"[('retweet', 'NN'), (':', ':'), ('full', 'JJ'), ('day', 'NN'), ('work', 'NN'), ('serving', 'VBG'), ('nhs', 'JJ'), ('I', 'PRP'), ('every', 'DT'), ('day', 'NN'), (',', ','), ('I', 'PRP'), ('go', 'VBP'), ('shop', 'RB'), ('food', 'NN'), ('greeted', 'VBD'), ('this', 'DT'), ('.', '.'), ('emotional', 'JJ'), ('do…', 'NN')]"
6,1240974611199586304,"['retweet', ':', 'muslims', 'immune', 'coronavirus', '?', 'close', 'gatherings', 'irrespective', 'relig…']",,"[('retweet', 'NN'), (':', ':'), ('muslims', 'NNS'), ('immune', 'VBP'), ('coronavirus', 'NN'), ('?', '.'), ('close', 'JJ'), ('gatherings', 'NNS'), ('irrespective', 'JJ'), ('relig…', 'NN')]"
7,1240974619479285760,"['retweet', ':', 'would']",Mila,"[('retweet', 'NN'), (':', ':'), ('would', 'MD')]"
8,1240974663901118467,"['retweet', ':', 'momma', ""'s"", 'stupid', 'dismantled', 'pandemic', 'response', 'team', 'april', '.']","New York, United States","[('retweet', 'NN'), (':', ':'), ('momma', 'NN'), (""'s"", 'POS'), ('stupid', 'JJ'), ('dismantled', 'VBD'), ('pandemic', 'JJ'), ('response', 'NN'), ('team', 'NN'), ('april', 'NN'), ('.', '.')]"
9,1240974671991967744,"['retweet', ':', 'breaking', 'report', ':', 'senator', 'diane', 'feinstein', 'accused', 'trading', 'stock', 'prior', 'global', 'pandemic', '...', 'likely', 'violation', 'the…']",USA Texas,"[('retweet', 'NN'), (':', ':'), ('breaking', 'JJ'), ('report', 'NN'), (':', ':'), ('senator', 'NN'), ('diane', 'NN'), ('feinstein', 'NN'), ('accused', 'VBD'), ('trading', 'NN'), ('stock', 'NN'), ('prior', 'RB'), ('global', 'JJ'), ('pandemic', 'NN'), ('...', ':'), ('likely', 'JJ'), ('violation', 'NN'), ('the…', 'NN')]"
10,1240974709820276738,"['wake', 'coronavirusoutbreak', ',', 'maharashtra', 'chief', 'minister', 'uddhav', 'thackeray', 'requested', 'union', 'finance', 'minister', 'nirmala', 'sitharaman', 'extend', 'date', 'income', 'tax', '(', 'last', 'date', 'march', 'Confusion', ',', 'gst', '(', 'april', 'Confusion', '&', 'amp', ';', 'gst', '(', 'march', 'Confusion', 'filing', '.']","Mumbai, India","[('wake', 'NN'), ('coronavirusoutbreak', 'NN'), (',', ','), ('maharashtra', 'JJ'), ('chief', 'JJ'), ('minister', 'NN'), ('uddhav', 'JJ'), ('thackeray', 'NN'), ('requested', 'VBD'), ('union', 'NN'), ('finance', 'NN'), ('minister', 'NN'), ('nirmala', 'JJ'), ('sitharaman', 'JJ'), ('extend', 'NN'), ('date', 'NN'), ('income', 'NN'), ('tax', 'NN'), ('(', '('), ('last', 'JJ'), ('date', 'NN'), ('march', 'NN'), ('Confusion', 'NNP'), (',', ','), ('gst', 'NN'), ('(', '('), ('april', 'JJ'), ('Confusion', 'NNP'), ('&', 'CC'), ('amp', 'NN'), (';', ':'), ('gst', 'NN'), ('(', '('), ('march', 'JJ'), ('Confusion', 'NNP'), ('filing', 'NN'), ('.', '.')]"
11,1240974710202138625,"['retweet', ':', 'graphic', 'designer', '?', 'volunteer', 'stop', 'global', 'pandemic', 'designing', 'indicative', 'preventive', 'measures', 'respe…']",Nigeria,"[('retweet', 'NN'), (':', ':'), ('graphic', 'JJ'), ('designer', 'NN'), ('?', '.'), ('volunteer', 'NN'), ('stop', 'NN'), ('global', 'JJ'), ('pandemic', 'JJ'), ('designing', 'VBG'), ('indicative', 'JJ'), ('preventive', 'JJ'), ('measures', 'NNS'), ('respe…', 'VBP')]"
12,1240974727126093825,"['retweet', ':', 'tim', 'martin', ',', 'wetherspoon', 'ceo', ',', 'said', 'keep', 'going', 'pubs', 'pandemic', '.', 'richard', 'branson', ',', 'ceo', 'virgin', 'has…']",,"[('retweet', 'NN'), (':', ':'), ('tim', 'NN'), ('martin', 'NN'), (',', ','), ('wetherspoon', 'NN'), ('ceo', 'NN'), (',', ','), ('said', 'VBD'), ('keep', 'VB'), ('going', 'VBG'), ('pubs', 'JJ'), ('pandemic', 'JJ'), ('.', '.'), ('richard', 'NN'), ('branson', 'NN'), (',', ','), ('ceo', 'NN'), ('virgin', 'NN'), ('has…', 'NN')]"
13,1240971119747883009,"['retweet', ':', 'hot', 'take', ':', 'formative', 'years', 'life', 'involve', 'major', 'terrorist', 'attack', ',', 'two', 'recessions', ',', 'exorbitantly', 'expensive…']",,"[('retweet', 'NN'), (':', ':'), ('hot', 'JJ'), ('take', 'NN'), (':', ':'), ('formative', 'JJ'), ('years', 'NNS'), ('life', 'NN'), ('involve', 'VBP'), ('major', 'JJ'), ('terrorist', 'JJ'), ('attack', 'NN'), (',', ','), ('two', 'CD'), ('recessions', 'NNS'), (',', ','), ('exorbitantly', 'RB'), ('expensive…', 'VBP')]"
14,1240974009644142592,"['retweet', ':', 'whether', 'last', 'name', 'burr', 'loeffler', ',', 'd', ',', 'immediate', 'reaction', 'upon', 'learning', 'impending', 'pan…']","Phoenix, United States","[('retweet', 'NN'), (':', ':'), ('whether', 'IN'), ('last', 'JJ'), ('name', 'NN'), ('burr', 'VBD'), ('loeffler', 'NN'), (',', ','), ('d', 'NN'), (',', ','), ('immediate', 'JJ'), ('reaction', 'NN'), ('upon', 'IN'), ('learning', 'VBG'), ('impending', 'VBG'), ('pan…', 'NN')]"
15,1240974638420811776,"['retweet', ':', 'virtual', 'activities', 'rise', '-', 'we', ""'re"", 'learning', 'much', 'possible', 'virtually', 'covid19', 'pandemic', '.', '…']",Canada,"[('retweet', 'NN'), (':', ':'), ('virtual', 'JJ'), ('activities', 'NNS'), ('rise', 'VBP'), ('-', ':'), ('we', 'PRP'), (""'re"", 'VBP'), ('learning', 'VBG'), ('much', 'JJ'), ('possible', 'JJ'), ('virtually', 'RB'), ('covid19', 'JJ'), ('pandemic', 'NN'), ('.', '.'), ('…', 'NN')]"
16,1240974638685052929,"['retweet', ':', 'i', '’', 'm', 'years', 'old', 'I', 'tested', 'positive', 'covid-19', '.', 'i', '’', 've', 'debating', 'posting', ',', 'I', 'want', 'share', 'experience', 'especi…']",Dokis,"[('retweet', 'NN'), (':', ':'), ('i', 'NN'), ('’', 'VBP'), ('m', 'CD'), ('years', 'NNS'), ('old', 'JJ'), ('I', 'PRP'), ('tested', 'VBD'), ('positive', 'JJ'), ('covid-19', 'NN'), ('.', '.'), ('i', 'JJ'), ('’', 'VBP'), ('ve', 'JJ'), ('debating', 'VBG'), ('posting', 'NN'), (',', ','), ('I', 'PRP'), ('want', 'VBP'), ('share', 'NN'), ('experience', 'NN'), ('especi…', 'NN')]"
17,1240974651200864257,"['retweet', ':', 'fact', 'bernie', 'sanders', 'doesn', '’', 't', 'give', 'single', 'sh', '*', 't', 'status', 'election', 'instead', 'concerned', 'th…']",,"[('retweet', 'NN'), (':', ':'), ('fact', 'NN'), ('bernie', 'IN'), ('sanders', 'NNS'), ('doesn', 'VBP'), ('’', 'JJ'), ('t', 'NN'), ('give', 'VBP'), ('single', 'JJ'), ('sh', 'NN'), ('*', 'NNP'), ('t', 'NN'), ('status', 'NN'), ('election', 'NN'), ('instead', 'RB'), ('concerned', 'VBD'), ('th…', 'NNS')]"
18,1240974701855494144,"['retweet', ':', 'turns', 'you.s', '.', 'senators', 'using', 'inside', 'knowledge', 'pandemic', 'protect', 'financial', 'holdings', 'bu…']","Virginia, Australia","[('retweet', 'NN'), (':', ':'), ('turns', 'VBZ'), ('you.s', 'RB'), ('.', '.'), ('senators', 'NNS'), ('using', 'VBG'), ('inside', 'IN'), ('knowledge', 'NN'), ('pandemic', 'JJ'), ('protect', 'JJ'), ('financial', 'JJ'), ('holdings', 'NNS'), ('bu…', 'NN')]"
19,1240955735174860800,"['republicans', 'true', 'american', 'people', 'care', 'do', '.', 'take', 'note']","Houston, TX, Etats-Unis","[('republicans', 'NNS'), ('true', 'JJ'), ('american', 'JJ'), ('people', 'NNS'), ('care', 'NN'), ('do', 'VBP'), ('.', '.'), ('take', 'VB'), ('note', 'NN')]"
20,1240955735867043841,"['retweet', ':', 'ha', 'love', 'this', ',', 'also', 'love', 'drums', 'start', 'remind', 'fools', '&', 'amp', ';', 'horses', 'theme', '!', 'covid19', 'selfisolation']",,"[('retweet', 'NN'), (':', ':'), ('ha', 'NN'), ('love', 'NN'), ('this', 'DT'), (',', ','), ('also', 'RB'), ('love', 'VBP'), ('drums', 'NNS'), ('start', 'VBP'), ('remind', 'VB'), ('fools', 'JJ'), ('&', 'CC'), ('amp', 'NN'), (';', ':'), ('horses', 'NNS'), ('theme', 'VBP'), ('!', '.'), ('covid19', 'NN'), ('selfisolation', 'NN')]"
21,1240955747346808833,"['retweet', ':', 'breaking', ':', 'represent', '.', 'alexandria', 'ocasio-cortez', 'called', 'gop', 'sen.', 'richard', 'burr', 'resign', 'burr', '``', 'got', 'private', 'briefings', 'about…']",USA,"[('retweet', 'NN'), (':', ':'), ('breaking', 'NN'), (':', ':'), ('represent', 'NN'), ('.', '.'), ('alexandria', 'IN'), ('ocasio-cortez', 'JJ'), ('called', 'VBN'), ('gop', 'NN'), ('sen.', 'NN'), ('richard', 'NN'), ('burr', 'NN'), ('resign', 'NN'), ('burr', 'NN'), ('``', '``'), ('got', 'VBD'), ('private', 'JJ'), ('briefings', 'NNS'), ('about…', 'VBP')]"
22,1240955747556458496,"['retweet', ':', 'hats', 'iranian', 'doctor', 'shirin', 'rouhani', 'pa', '*', '*', 'ed', 'away', 'due', 'coronavirus', '.', 'due', 'lack', 'medical', 'staff', ',', 'kept…']","Mumbai, India","[('retweet', 'NN'), (':', ':'), ('hats', 'NNS'), ('iranian', 'JJ'), ('doctor', 'NN'), ('shirin', 'NN'), ('rouhani', 'NN'), ('pa', 'NN'), ('*', 'NNP'), ('*', 'NNP'), ('ed', 'VBZ'), ('away', 'RB'), ('due', 'JJ'), ('coronavirus', 'NN'), ('.', '.'), ('due', 'JJ'), ('lack', 'RB'), ('medical', 'JJ'), ('staff', 'NN'), (',', ','), ('kept…', 'NN')]"
23,1240955747581779970,"['person_shrugging\u200dmale_sign️', 'corona', 'influence', 'business', '?', 'heavy_check_mark️if', 'yes', ',', 'suggestions', 'useful', 'tools', '.', 'make', 'everyday', 'life', 'easier', '.', 'stay', 'connected', 'touch', 'team', '!', 'corona', 'tools', 'health', 'startups']","Cologne, Germany","[('person_shrugging\u200dmale_sign️', 'NN'), ('corona', 'JJ'), ('influence', 'NN'), ('business', 'NN'), ('?', '.'), ('heavy_check_mark️if', 'UH'), ('yes', 'UH'), (',', ','), ('suggestions', 'NNS'), ('useful', 'JJ'), ('tools', 'NNS'), ('.', '.'), ('make', 'VB'), ('everyday', 'JJ'), ('life', 'NN'), ('easier', 'NN'), ('.', '.'), ('stay', 'NN'), ('connected', 'VBD'), ('touch', 'JJ'), ('team', 'NN'), ('!', '.'), ('corona', 'NN'), ('tools', 'VBZ'), ('health', 'NN'), ('startups', 'NNS')]"
24,1240955747644641283,"['retweet', ':', 'generation', 'z.', 'I', 'want', 'name', 'folks', 'love', 'calling', 'everybody', 'millennials', '.', 'millennials…']",,"[('retweet', 'NN'), (':', ':'), ('generation', 'NN'), ('z.', 'NN'), ('I', 'PRP'), ('want', 'VBP'), ('name', 'JJ'), ('folks', 'NNS'), ('love', 'VBP'), ('calling', 'VBG'), ('everybody', 'NN'), ('millennials', 'NNS'), ('.', '.'), ('millennials…', 'NN')]"
25,1240955748106059776,"['retweet', ':', 'ron', 'johnson', 'he', '?', 'greedy', 'illegitimate', 'child', 'voted', 'monetary', 'relief', 'days', 'ago', 'taking', 'care', 'himself', '.']",Heaven,"[('retweet', 'NN'), (':', ':'), ('ron', 'NN'), ('johnson', 'NN'), ('he', 'PRP'), ('?', '.'), ('greedy', 'JJ'), ('illegitimate', 'NN'), ('child', 'NN'), ('voted', 'VBD'), ('monetary', 'JJ'), ('relief', 'NN'), ('days', 'NNS'), ('ago', 'RB'), ('taking', 'VBG'), ('care', 'NN'), ('himself', 'PRP'), ('.', '.')]"
26,1240955751134363649,"['retweet', ':', 'everyone', 'coming', 'corona', 'barista']",,"[('retweet', 'NN'), (':', ':'), ('everyone', 'NN'), ('coming', 'VBG'), ('corona', 'NNS'), ('barista', 'NN')]"
27,1240955751973171202,"['yep', '.', 'yesterday', '’', 's', 'testing', 'data', 'michigan', 'confirmed', 'covid19', 'pretty', 'evenly', 'spread', 'among', 'young', 'middle-aged', 'adults', '.']","St Clair Shores, MI, Etats-Unis","[('yep', 'NN'), ('.', '.'), ('yesterday', 'NN'), ('’', 'VBD'), ('s', 'JJ'), ('testing', 'VBG'), ('data', 'NNS'), ('michigan', 'NNS'), ('confirmed', 'VBD'), ('covid19', 'JJ'), ('pretty', 'RB'), ('evenly', 'RB'), ('spread', 'VBP'), ('among', 'IN'), ('young', 'JJ'), ('middle-aged', 'JJ'), ('adults', 'NNS'), ('.', '.')]"
28,1240955752581345281,"['retweet', ':', 'entire', 'georgia', 'legislature', 'urged', 'self-quarantine', 'senator', 'shows', 'vote', 'despite', 'coronavirus', 'test', ',', 'turned', 'out…']","Austin, United States","[('retweet', 'NN'), (':', ':'), ('entire', 'JJ'), ('georgia', 'NN'), ('legislature', 'NN'), ('urged', 'VBD'), ('self-quarantine', 'JJ'), ('senator', 'NN'), ('shows', 'NNS'), ('vote', 'VBP'), ('despite', 'IN'), ('coronavirus', 'JJ'), ('test', 'NN'), (',', ','), ('turned', 'VBD'), ('out…', 'RP')]"
29,1240955755882336256,"['retweet', ':', 'later', 'morning', 'prof', 'prof', 'answer', 'questions', 'impact', 'covid-19', 'air', 'pollution', ',', 'c…']","Cork, Ireland","[('retweet', 'NN'), (':', ':'), ('later', 'RB'), ('morning', 'NN'), ('prof', 'NN'), ('prof', 'NN'), ('answer', 'NN'), ('questions', 'NNS'), ('impact', 'VBP'), ('covid-19', 'JJ'), ('air', 'NN'), ('pollution', 'NN'), (',', ','), ('c…', 'NN')]"
30,1240955759938211845,"['retweet', ':', 'correct', 'technique', 'wash', 'hands', 'proper', 'disinfection', '.', 'coronavirusoutbreakindia', 'coronavirusupdate', 'covid', 'coronavi…']",,"[('retweet', 'NN'), (':', ':'), ('correct', 'NN'), ('technique', 'NN'), ('wash', 'JJ'), ('hands', 'NNS'), ('proper', 'JJ'), ('disinfection', 'NN'), ('.', '.'), ('coronavirusoutbreakindia', 'NN'), ('coronavirusupdate', 'NN'), ('covid', 'NN'), ('coronavi…', 'NN')]"
31,1240955760353456130,"['retweet', ':', 'gee', ',', 'covid-19', 'isn', '’', 't', 'hoax', 'all', ',', 'possible', 'climate', 'change', 'isn', '’', 't', 'either', '?', 'perhaps', 'learn', 'something…']","Hialeah, United States","[('retweet', 'NN'), (':', ':'), ('gee', 'NN'), (',', ','), ('covid-19', 'JJ'), ('isn', 'NN'), ('’', 'NNP'), ('t', 'NN'), ('hoax', 'NN'), ('all', 'DT'), (',', ','), ('possible', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('isn', 'NN'), ('’', 'NNP'), ('t', 'NN'), ('either', 'RB'), ('?', '.'), ('perhaps', 'RB'), ('learn', 'VB'), ('something…', 'NN')]"
32,1240955760835809281,"['retweet', ':', 'read', ':', 'thumbs_down']","Medford, United States","[('retweet', 'NN'), (':', ':'), ('read', 'NN'), (':', ':'), ('thumbs_down', 'NN')]"
33,1240955764514095106,"['retweet', ':', 'job', 'go', 'another', 'degree', '.', 'singenaphi', '?']","Johannesburg, South Africa","[('retweet', 'NN'), (':', ':'), ('job', 'NN'), ('go', 'VBP'), ('another', 'DT'), ('degree', 'NN'), ('.', '.'), ('singenaphi', 'NN'), ('?', '.')]"
34,1240955768225947649,"['retweet', ':', 'world', 'locks', 'insists', 'exams', '.', 'either', 'delay', 'exams', 'simply', 'promote', 'students', 'without', 'exa…']","Jodhpur, India","[('retweet', 'NN'), (':', ':'), ('world', 'NN'), ('locks', 'VBZ'), ('insists', 'NNS'), ('exams', 'RB'), ('.', '.'), ('either', 'CC'), ('delay', 'JJ'), ('exams', 'NN'), ('simply', 'RB'), ('promote', 'JJ'), ('students', 'NNS'), ('without', 'IN'), ('exa…', 'NN')]"
35,1240955768851107840,"['retweet', ':', 'intelligence', 'chairman', ',', 'got', 'private', 'briefings', 'coronavirus', 'weeks', 'ago', '.', 'burr', 'knew', 'bad', 'would', 'be', '.', 'told', 'tru…']","Virginia, Australia","[('retweet', 'NN'), (':', ':'), ('intelligence', 'NN'), ('chairman', 'NN'), (',', ','), ('got', 'VBD'), ('private', 'JJ'), ('briefings', 'NNS'), ('coronavirus', 'VBP'), ('weeks', 'NNS'), ('ago', 'RB'), ('.', '.'), ('burr', 'VB'), ('knew', 'JJ'), ('bad', 'JJ'), ('would', 'MD'), ('be', 'VB'), ('.', '.'), ('told', 'VBN'), ('tru…', 'NN')]"
36,1240955769442439169,"['retweet', ':', 'let', '’', 's', 'talk', 'happens', 'get', 'covid19', 'recover', '.', 'immune', 'disease', '?', 'long', 'immunity', 'l…']","London, United Kingdom","[('retweet', 'NN'), (':', ':'), ('let', 'NN'), ('’', 'NNP'), ('s', 'VB'), ('talk', 'NN'), ('happens', 'VBZ'), ('get', 'VBP'), ('covid19', 'JJ'), ('recover', 'NN'), ('.', '.'), ('immune', 'NN'), ('disease', 'NN'), ('?', '.'), ('long', 'JJ'), ('immunity', 'NN'), ('l…', 'NN')]"
37,1240955772688691200,"['retweet', ':', 'vasundhara', 'raje', ',', 'bjp', 'leader', ':', 'while', 'lucknow', ',', 'i', 'attended', 'dinner', 'son', 'dushyant', '&', 'amp', ';', 'his', 'in-laws', '.', 'kanika', ',', 'unfortunately', 'te…']",New Delhi British Indian Ocean Territory,"[('retweet', 'NN'), (':', ':'), ('vasundhara', 'NN'), ('raje', 'NN'), (',', ','), ('bjp', 'JJ'), ('leader', 'NN'), (':', ':'), ('while', 'IN'), ('lucknow', 'NN'), (',', ','), ('i', 'NN'), ('attended', 'VBD'), ('dinner', 'NN'), ('son', 'NN'), ('dushyant', 'NN'), ('&', 'CC'), ('amp', 'NN'), (';', ':'), ('his', 'PRP$'), ('in-laws', 'NN'), ('.', '.'), ('kanika', 'FW'), (',', ','), ('unfortunately', 'RB'), ('te…', 'NN')]"
38,1240955773129129984,"['retweet', ':', 'prime', 'minister', 'right', 'holding', 'video', 'conference', 'chief', 'ministers', 'states', 'union', 'te…']",British Indian Ocean Territory Kodagu,"[('retweet', 'NN'), (':', ':'), ('prime', 'JJ'), ('minister', 'NN'), ('right', 'RB'), ('holding', 'VBG'), ('video', 'NN'), ('conference', 'NN'), ('chief', 'NN'), ('ministers', 'NNS'), ('states', 'NNS'), ('union', 'NN'), ('te…', 'NN')]"
39,1240955773540282370,"['retweet', ':', 'crazy', 'thing', 'loeffler', 'is', '...', 'she', 'rich', 'didn', '’', 't', 'need', 'make', 'stock', 'trades', '.', 'would', 'make', 'okay', 'she…']",,"[('retweet', 'NN'), (':', ':'), ('crazy', 'JJ'), ('thing', 'NN'), ('loeffler', 'NN'), ('is', 'VBZ'), ('...', ':'), ('she', 'PRP'), ('rich', 'JJ'), ('didn', 'NN'), ('’', 'NNP'), ('t', 'NN'), ('need', 'NN'), ('make', 'VBP'), ('stock', 'NN'), ('trades', 'NNS'), ('.', '.'), ('would', 'MD'), ('make', 'VB'), ('okay', 'JJ'), ('she…', 'NN')]"
40,1240955773708120064,"['retweet', ':', 'china', 'times', 'people', 'italy', '...']",Rgion,"[('retweet', 'NN'), (':', ':'), ('china', 'NN'), ('times', 'NNS'), ('people', 'NNS'), ('italy', 'VBP'), ('...', ':')]"
41,1240955776891527169,"['latest', 'fetalgroup', 'daily', '!', 'thanks', 'coronavirus', 'prevention']","Blanca, Spain","[('latest', 'JJS'), ('fetalgroup', 'JJ'), ('daily', 'JJ'), ('!', '.'), ('thanks', 'NNS'), ('coronavirus', 'VBP'), ('prevention', 'NN')]"
42,1240955776971108352,"['retweet', ':', 'generation', 'z.', 'I', 'want', 'name', 'folks', 'love', 'calling', 'everybody', 'millennials', '.', 'millennials…']","Los Angeles, United States","[('retweet', 'NN'), (':', ':'), ('generation', 'NN'), ('z.', 'NN'), ('I', 'PRP'), ('want', 'VBP'), ('name', 'JJ'), ('folks', 'NNS'), ('love', 'VBP'), ('calling', 'VBG'), ('everybody', 'NN'), ('millennials', 'NNS'), ('.', '.'), ('millennials…', 'NN')]"
43,1240955780960002050,"['retweet', ':', 'police_car_lightbreaking', 'police_car_light', 'california', 'gov', '.', 'declares', 'californialockdown…', 'million', 'ordered', 'shelter-in-place', 'pro…']","Washington, United Kingdom","[('retweet', 'NN'), (':', ':'), ('police_car_lightbreaking', 'NN'), ('police_car_light', 'NN'), ('california', 'NN'), ('gov', 'NN'), ('.', '.'), ('declares', 'VBZ'), ('californialockdown…', 'JJ'), ('million', 'CD'), ('ordered', 'VBD'), ('shelter-in-place', 'NN'), ('pro…', 'NN')]"
44,1240955781043937283,"['one', '(', 'smallConfusion', 'good', 'thing', 'situation', '.', 'covid-19', 'emails', ',', 'automatically', 'good', 'overview', '``', 'right', 'forgotten', ""''"", 'gdpr', 'action', 'list']","Belgium, United States","[('one', 'CD'), ('(', '('), ('smallConfusion', 'NN'), ('good', 'JJ'), ('thing', 'NN'), ('situation', 'NN'), ('.', '.'), ('covid-19', 'NN'), ('emails', 'NNS'), (',', ','), ('automatically', 'RB'), ('good', 'JJ'), ('overview', 'NN'), ('``', '``'), ('right', 'JJ'), ('forgotten', 'NN'), (""''"", ""''""), ('gdpr', 'JJ'), ('action', 'NN'), ('list', 'NN')]"
45,1240955836584742912,"['china', 'never', 'received', 'anti-epidemic', 'funds', 'a', '*', '*', 'istance', 'us', 'government', 'amid', 'covid19', 'outbreak', ',', 'said', 'chinese', 'f', '*', '*', 'k', 'spokesperson', 'friday', 'response', 'question', 'us', 'officials', 'saying', 'million', 'us', 'dollars', 'would', 'donated', 'countries', 'including', 'china', '.']","Beijing, China","[('china', 'NN'), ('never', 'RB'), ('received', 'VBD'), ('anti-epidemic', 'JJ'), ('funds', 'NNS'), ('a', 'DT'), ('*', 'NN'), ('*', 'NN'), ('istance', 'NN'), ('us', 'PRP'), ('government', 'NN'), ('amid', 'IN'), ('covid19', 'JJ'), ('outbreak', 'NN'), (',', ','), ('said', 'VBD'), ('chinese', 'JJ'), ('f', 'JJ'), ('*', 'NN'), ('*', 'NNP'), ('k', 'NNP'), ('spokesperson', 'NNP'), ('friday', 'JJ'), ('response', 'NN'), ('question', 'NN'), ('us', 'PRP'), ('officials', 'NNS'), ('saying', 'VBG'), ('million', 'CD'), ('us', 'PRP'), ('dollars', 'NNS'), ('would', 'MD'), ('donated', 'VB'), ('countries', 'NNS'), ('including', 'VBG'), ('china', 'NN'), ('.', '.')]"
46,1240955837092225024,"['retweet', ':', 'kanikakapoor', 'episode', 'shows', 'stardom', '&', 'amp', ';', 'money', 'privilege', 'doesn', '’', 't', 'guarantee', 'minimum', 'common', 'sense', '.', 'irrespo…']",British Indian Ocean Territory,"[('retweet', 'NN'), (':', ':'), ('kanikakapoor', 'NN'), ('episode', 'NN'), ('shows', 'VBZ'), ('stardom', 'NN'), ('&', 'CC'), ('amp', 'NN'), (';', ':'), ('money', 'NN'), ('privilege', 'NN'), ('doesn', 'NN'), ('’', 'NNP'), ('t', 'NN'), ('guarantee', 'NN'), ('minimum', 'JJ'), ('common', 'JJ'), ('sense', 'NN'), ('.', '.'), ('irrespo…', 'NN')]"
47,1240955844172214273,"['retweet', ':', '``', 'had', 'china', 'taken', 'proactive', 'measures', 'contain', 'pandemic', 'december', ',', 'number', 'covid19', 'cases', 'could', ""'ve"", 'mitigat…']","Hyderabad, India","[('retweet', 'NN'), (':', ':'), ('``', '``'), ('had', 'VBD'), ('china', 'NN'), ('taken', 'VBN'), ('proactive', 'JJ'), ('measures', 'NNS'), ('contain', 'VBP'), ('pandemic', 'JJ'), ('december', 'NN'), (',', ','), ('number', 'NN'), ('covid19', 'NN'), ('cases', 'NNS'), ('could', 'MD'), (""'ve"", 'VBP'), ('mitigat…', 'VB')]"
48,1240955845090910208,"['retweet', ':', 'follow', 'rolling', 'coverage', 'coronavirus', 'outbreak', 'us', 'donald', 'trump', ""'s"", 'attempts', 'contain', 'it', ':', '🇺🇸', 'trump', 'ca…']","Pawcatuck, United States","[('retweet', 'NN'), (':', ':'), ('follow', 'JJ'), ('rolling', 'VBG'), ('coverage', 'NN'), ('coronavirus', 'NN'), ('outbreak', 'VBP'), ('us', 'PRP'), ('donald', 'JJ'), ('trump', 'NN'), (""'s"", 'POS'), ('attempts', 'NNS'), ('contain', 'VBP'), ('it', 'PRP'), (':', ':'), ('🇺🇸', 'JJ'), ('trump', 'NN'), ('ca…', 'NN')]"
